,PROMEDIO,ID_CARRERA,ID_ESCUELA
309,8.5,6,504
310,8.5,7,407
311,8.5,1,504
312,8.0,27,753
313,8.95,18,719
314,8.5,7,418
315,9.4,78,418
316,8.7,57,753
317,8.3,18,723
318,8.7,15,915
319,8.8,67,898
320,8.7,27,719
321,9.5,24,504
322,9.0,56,504
323,8.0,68,767
324,8.0,77,83
325,9.0,33,723
326,8.4,13,480
327,8.9,24,767
328,9.5,20,719
329,10.0,52,1143
330,8.0,7,1137
331,8.5,68,511
332,8.0,49,1123
333,9.0,24,494
334,8.9,57,730
335,9.8,13,564
336,7.5,33,1163
337,8.5,68,719
338,9.9,62,778
339,9.0,60,778
340,8.5,77,2
341,9.2,68,534
342,8.0,32,844
343,9.0,68,844
344,8.2,7,791
345,8.4,24,144
346,8.5,52,897
347,9.7,18,192
348,9.3,24,757
349,8.5,24,192
350,8.6,10,494
351,8.5,83,1176
352,8.0,72,773
353,9.2,68,755
354,8.05,58,494
355,8.0,1,1177
356,9.0,1,754
357,9.06,43,1170
358,9.7,20,496
359,8.7,32,730
360,8.6,7,1178
361,9.0,33,1163
362,10.0,62,525
363,9.4,30,1127
364,9.4,68,89
365,8.5,68,1127
366,9.6,33,913
367,7.12,13,470
368,9.0,58,80
369,7.4,41,1022
370,8.0,67,286
371,8.5,68,1179
372,8.2,10,140
373,8.0,68,140
374,9.6,65,140
375,9.03,68,140
376,8.0,68,140
377,8.0,68,140
378,8.3,68,144
379,8.05,41,1180
380,8.7,61,719
381,8.2,13,891
382,9.9,68,914
383,9.4,50,698
384,9.8,24,1163
385,8.5,1,140
386,8.5,24,140
387,9.5,68,140
388,9.1,18,1127
389,9.1,24,669
390,8.9,62,837
391,9.0,33,837
392,7.92,7,719
393,7.2,56,1032
394,9.1,24,1135
395,8.8,68,696
396,8.0,52,430
397,9.35,24,915
398,8.5,27,459
399,8.8,10,643
400,9.0,57,716
401,8.7,68,1163
402,10.0,14,385
403,9.7,27,719
404,8.0,68,413
405,8.6,68,1181
406,9.0,27,909
407,9.3,75,1135
408,9.3,68,909
409,9.2,15,772
410,8.7,27,915
411,8.0,24,1156
412,9.3,77,466
413,8.11,64,911
414,7.9,32,773
415,8.7,20,1143
416,8.5,18,719
417,8.5,75,1143
418,8.5,18,719
419,9.4,37,1167
420,8.8,18,399
421,8.7,68,399
422,9.3,1,910
423,7.5,17,470
424,8.0,1,773
425,8.8,33,470
426,8.1,75,393
427,9.0,20,719
428,7.8,20,753
429,9.0,24,767
430,8.7,75,719
431,9.5,68,1182
432,8.7,20,719
433,8.9,1,915
434,7.5,78,144
435,7.6,18,1159
436,8.4,17,719
437,8.16,68,951
438,7.8,1,181
439,8.0,68,300
440,7.5,56,27
441,9.1,77,1149
442,9.0,7,181
443,7.9,10,753
444,9.7,68,1183
445,7.3,24,767
446,9.2,52,773
447,8.7,68,912
448,10.0,1,496
449,9.2,7,417
450,9.5,68,754
451,8.6,68,911
452,8.5,68,144
453,8.0,10,766
454,8.0,68,451
455,9.1,24,842
456,8.1,24,496
457,9.7,10,496
458,10.0,68,496
459,8.9,68,833
460,8.0,68,655
461,7.8,45,1163
462,8.1,68,669
463,8.7,68,669
464,8.8,68,669
465,7.5,68,669
466,8.5,68,669
467,8.5,68,669
468,9.2,27,719
469,9.8,24,947
470,9.7,68,1184
471,8.0,77,292
472,9.1,77,718
473,8.0,7,188
474,8.3,68,909
475,7.5,24,1140
476,8.2,14,654
477,8.99,60,1110
478,7.8,68,1022
479,8.5,17,1149
480,8.7,18,987
481,9.3,10,494
482,9.1,15,494
483,8.8,68,719
484,8.69,50,915
485,8.0,68,1185
486,9.5,17,72
487,9.8,10,768
488,9.3,18,768
489,7.9,77,1186
490,8.4,41,1187
491,8.3,1,524
492,8.5,33,1188
493,9.5,58,719
494,8.0,27,1115
495,9.1,68,811
496,8.0,75,1170
497,8.1,62,946
498,8.5,30,1142
499,8.5,24,753
500,8.0,15,753
501,8.0,68,857
502,9.5,68,643
503,9.7,68,1032
504,9.5,68,1160
505,9.5,68,1032
506,8.5,24,181
507,9.4,68,388
508,7.6,50,388
509,8.0,31,716
510,9.9,68,758
511,8.0,20,719
512,8.0,50,719
513,8.5,1,719
514,9.8,68,719
515,8.6,24,709
516,9.8,15,580
517,8.0,75,753
518,8.0,27,157
519,8.0,24,157
520,8.8,20,157
521,8.5,24,541
522,9.5,65,181
523,8.3,1,719
524,9.0,78,256
525,8.0,61,840
526,8.2,20,569
527,9.8,20,569
528,8.9,24,569
529,8.4,1,755
530,8.0,18,755
531,9.0,20,755
532,8.4,68,1068
533,8.3,15,884
534,8.5,7,417
535,7.2,18,730
536,8.6,68,388
537,8.0,67,558
538,9.0,68,723
539,8.5,68,753
540,9.0,20,485
541,7.6,68,766
542,8.5,75,766
543,8.4,7,388
544,9.3,68,1095
545,7.5,56,1095
546,8.0,56,909
547,8.2,33,469
548,9.2,20,391
549,8.5,1,719
