,ID_ESTADO,NOMBRE_ESTADO,ID_PAIS
4812,21,PUEBLA,1
4813,21,PUEBLA,1
4814,21,PUEBLA,1
4815,21,PUEBLA,1
4816,21,PUEBLA,1
4817,21,PUEBLA,1
4818,21,PUEBLA,1
4819,21,PUEBLA,1
4820,21,PUEBLA,1
4821,21,PUEBLA,1
4822,21,PUEBLA,1
4823,21,PUEBLA,1
4824,21,PUEBLA,1
4825,21,PUEBLA,1
4826,21,PUEBLA,1
4827,21,PUEBLA,1
4828,21,PUEBLA,1
4829,21,PUEBLA,1
4830,21,PUEBLA,1
4831,21,PUEBLA,1
4832,29,TLAXCALA,1
4833,29,TLAXCALA,1
4834,21,PUEBLA,1
4835,21,PUEBLA,1
4836,21,PUEBLA,1
4837,21,PUEBLA,1
4838,21,PUEBLA,1
4839,21,PUEBLA,1
4840,21,PUEBLA,1
4841,29,TLAXCALA,1
4842,21,PUEBLA,1
4843,21,PUEBLA,1
4844,21,PUEBLA,1
4845,21,PUEBLA,1
4846,21,PUEBLA,1
4847,21,PUEBLA,1
4848,21,PUEBLA,1
4849,21,PUEBLA,1
4850,21,PUEBLA,1
4851,21,PUEBLA,1
4852,21,PUEBLA,1
4853,21,PUEBLA,1
4854,21,PUEBLA,1
4855,21,PUEBLA,1
4856,21,PUEBLA,1
4857,21,PUEBLA,1
4858,21,PUEBLA,1
4859,21,PUEBLA,1
4860,17,MORELOS,1
4861,21,PUEBLA,1
4862,21,PUEBLA,1
4863,21,PUEBLA,1
4864,21,PUEBLA,1
4865,21,PUEBLA,1
4866,21,PUEBLA,1
4867,21,PUEBLA,1
4868,21,PUEBLA,1
4869,21,PUEBLA,1
4870,21,PUEBLA,1
4871,21,PUEBLA,1
4872,21,PUEBLA,1
4873,21,PUEBLA,1
4874,21,PUEBLA,1
4875,21,PUEBLA,1
4876,29,TLAXCALA,1
4877,21,PUEBLA,1
4878,21,PUEBLA,1
4879,21,PUEBLA,1
4880,21,PUEBLA,1
4881,21,PUEBLA,1
4882,21,PUEBLA,1
4883,21,PUEBLA,1
4884,21,PUEBLA,1
4885,21,PUEBLA,1
4886,21,PUEBLA,1
4887,21,PUEBLA,1
4888,21,PUEBLA,1
4889,21,PUEBLA,1
4890,21,PUEBLA,1
4891,21,PUEBLA,1
4892,21,PUEBLA,1
4893,21,PUEBLA,1
4894,21,PUEBLA,1
4895,21,PUEBLA,1
4896,21,PUEBLA,1
4897,21,PUEBLA,1
4898,21,PUEBLA,1
4899,21,PUEBLA,1
4900,21,PUEBLA,1
4901,21,PUEBLA,1
4902,21,PUEBLA,1
4903,21,PUEBLA,1
